iter	Passed	Remaining
0	3	3476
1	6	3045
2	8	2719
3	10	2654
4	13	2674
5	16	2666
6	18	2659
7	21	2608
8	23	2532
9	25	2517
10	27	2504
11	30	2535
12	33	2553
13	36	2577
14	39	2569
15	41	2565
16	44	2555
17	46	2543
18	49	2546
19	52	2549
20	54	2547
21	57	2535
22	59	2531
23	62	2532
24	64	2520
25	67	2521
26	69	2507
27	72	2510
28	74	2507
29	77	2500
30	80	2508
31	82	2499
32	85	2504
33	88	2508
34	90	2506
35	93	2503
36	96	2521
37	99	2519
38	101	2499
39	104	2496
40	106	2500
41	109	2498
42	112	2514
43	116	2520
44	118	2516
45	121	2519
46	124	2516
47	127	2522
48	129	2514
49	132	2509
50	134	2504
51	137	2498
52	139	2488
53	142	2488
54	144	2488
55	147	2484
56	149	2479
57	152	2470
58	155	2473
59	157	2468
60	159	2456
61	161	2450
62	164	2444
63	166	2436
64	169	2434
65	172	2434
66	174	2430
67	177	2426
68	179	2424
69	182	2418
70	185	2421
71	187	2422
72	190	2418
73	192	2414
74	195	2405
75	197	2399
76	199	2396
77	202	2394
78	204	2389
79	206	2377
80	209	2376
81	212	2374
82	214	2371
83	217	2367
84	219	2364
85	221	2358
86	223	2349
87	226	2349
88	228	2342
89	231	2341
90	233	2335
91	236	2332
92	238	2328
93	241	2326
94	243	2318
95	245	2312
96	248	2309
97	251	2310
98	254	2315
99	256	2312
100	259	2308
101	261	2300
102	263	2293
103	265	2288
104	267	2283
105	270	2283
106	273	2279
107	275	2275
108	278	2276
109	281	2275
110	283	2272
111	286	2268
112	288	2264
113	290	2261
114	293	2260
115	296	2256
116	299	2262
117	302	2262
118	305	2259
119	308	2261
120	312	2267
121	316	2276
122	318	2273
123	322	2278
124	325	2281
125	328	2277
126	331	2276
127	334	2275
128	336	2271
129	339	2269
130	341	2265
131	344	2267
132	347	2263
133	349	2260
134	351	2254
135	354	2249
136	356	2246
137	359	2243
138	361	2238
139	363	2235
140	366	2234
141	369	2230
142	371	2228
143	374	2224
144	376	2218
145	379	2217
146	381	2215
147	384	2212
148	386	2208
149	390	2210
150	393	2210
151	395	2208
152	398	2208
153	401	2207
154	404	2205
155	406	2201
156	409	2198
157	412	2196
158	414	2193
159	417	2190
160	419	2188
161	422	2183
162	424	2180
163	426	2173
164	428	2169
165	432	2172
166	436	2178
167	439	2177
168	441	2172
169	444	2169
170	447	2168
171	449	2163
172	451	2159
173	454	2156
174	456	2153
175	459	2149
176	461	2147
177	464	2142
178	466	2139
179	469	2137
180	471	2135
181	474	2130
182	476	2128
183	479	2125
184	481	2122
185	485	2124
186	488	2122
187	490	2119
188	493	2117
189	495	2114
190	499	2113
191	501	2110
192	503	2107
193	506	2103
194	508	2099
195	511	2096
196	513	2094
197	516	2090
198	518	2087
199	521	2084
200	523	2081
201	527	2083
202	530	2083
203	533	2082
204	536	2080
205	539	2077
206	542	2077
207	545	2076
208	547	2071
209	549	2068
210	551	2063
211	553	2058
212	556	2055
213	559	2053
214	561	2050
215	564	2049
216	566	2045
217	568	2039
218	570	2034
219	572	2028
220	574	2025
221	576	2020
222	579	2017
223	581	2015
224	584	2012
225	586	2010
226	589	2006
227	591	2003
228	594	2001
229	596	1998
230	599	1995
231	601	1992
232	604	1989
233	606	1986
234	609	1984
235	611	1980
236	614	1976
237	616	1973
238	619	1971
239	621	1968
240	623	1963
241	625	1960
242	628	1958
243	631	1955
244	633	1953
245	636	1949
246	639	1948
247	641	1944
248	643	1942
249	646	1940
250	650	1940
251	653	1939
252	655	1936
253	658	1933
254	660	1930
255	663	1927
256	665	1924
257	668	1921
258	671	1919
259	673	1915
260	675	1913
261	679	1914
262	681	1910
263	684	1908
264	687	1906
265	689	1902
266	692	1899
267	694	1896
268	696	1893
269	698	1889
270	701	1886
271	703	1884
272	706	1882
273	709	1880
274	712	1877
275	714	1874
276	716	1870
277	718	1867
278	721	1864
279	724	1862
280	726	1859
281	729	1857
282	732	1854
283	734	1852
284	737	1848
285	739	1846
286	742	1845
287	745	1842
288	747	1838
289	749	1835
290	752	1833
291	755	1830
292	757	1828
293	760	1826
294	762	1823
295	765	1819
296	767	1816
297	769	1813
298	772	1810
299	774	1807
300	776	1803
301	778	1799
302	781	1796
303	783	1794
304	785	1790
305	788	1787
306	790	1785
307	793	1783
308	796	1780
309	798	1777
310	800	1773
311	803	1771
312	805	1768
313	808	1766
314	811	1764
315	813	1761
316	816	1759
317	819	1757
318	821	1754
319	824	1751
320	827	1749
321	829	1746
322	832	1744
323	835	1742
324	837	1740
325	840	1737
326	842	1734
327	845	1731
328	847	1728
329	850	1726
330	853	1724
331	857	1724
332	859	1722
333	862	1719
334	866	1719
335	869	1717
336	872	1716
337	875	1714
338	878	1713
339	881	1711
340	884	1708
341	886	1705
342	889	1703
343	891	1700
344	894	1698
345	897	1695
346	899	1693
347	902	1690
348	904	1687
349	907	1684
350	910	1682
351	912	1679
352	915	1678
353	917	1675
354	920	1672
355	922	1669
356	925	1666
357	927	1663
358	930	1661
359	932	1658
360	935	1656
361	938	1653
362	940	1650
363	943	1648
364	946	1645
365	948	1642
366	950	1640
367	953	1637
368	956	1635
369	958	1632
370	961	1630
371	963	1626
372	965	1623
373	968	1620
374	970	1617
375	973	1615
376	976	1612
377	978	1609
378	980	1606
379	983	1604
380	985	1601
381	988	1599
382	991	1596
383	993	1593
384	996	1591
385	998	1588
